id,doi,title,venue,publication_year,publication_date,type,cited_by_count,cited_2015,cited_joss,fulltext_openalex,fulltext_epmc,first_author,n_authors,date_added,notes,exclude
W4412912399,10.3389/fcogn.2026.1815906,When less is more: single selfhood-related cues elicit higher selfhood ratings than multiple cues,Frontiers in Cognition,2026,2026-06-24,preprint,0,False,True,True,False,Jan Pohl,5,2026-07-15,,False
W7165588652,10.1515/lingvan-2025-0184,Gamification in phonetic perception data collection: accent identification in North East England,Linguistics Vanguard,2026,2026-06-22,article,0,True,False,False,False,Yanyu Li,4,2026-07-15,,False
W7165567514,10.64898/2026.06.17.732879,Relationship between cognitive flexibility and disordered eating attitudes across the non-clinical spectrum,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-06-22,preprint,0,True,False,False,False,Dicle Karacadag,6,2026-07-15,,False
W7165816767,,Beyond Value Benchmarks: Measuring Value-Structure Alignment in Large Language Models via Symmetric Q-Sorts,arXiv (Cornell University),2026,2026-06-20,preprint,0,False,False,True,False,Jingting Zheng,5,2026-07-15,,False
W7165444500,10.1016/j.jml.2026.104780,Recollective features in the natural language used to justify memory decisions,Journal of Memory and Language,2026,2026-06-20,article,0,False,True,False,False,Xinran Y. Zhang,2,2026-07-15,,False
W7165371193,10.64898/2026.06.15.732293,Nonlinear influence of reward volatility on arbitration between multiple learning strategies reflects cost–benefit optimization,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-06-19,preprint,0,False,False,True,False,Taiji Yamada,2,2026-07-15,,False
W7165972709,,Sexualised synthetic personas encode and amplify gendered power asymmetries through voice,arXiv (Cornell University),2026,2026-06-19,preprint,0,False,False,True,False,A. Ross,5,2026-07-15,,False
W7124551755,10.5281/zenodo.18294236,"Data From ""Gaze cues and arrow cues modulate accuracy of recall of verbal items in a working memory task """,Zenodo (CERN European Organization for Nuclear Research),2026,2026-06-18,dataset,1,False,False,True,False,Edward W. Legg,3,2026-07-15,,False
W7165435196,,map-shared-listening plugin,OSF Preprints (OSF Preprints),2026,2026-06-18,preprint,0,False,False,True,False,Federico Curzel,1,2026-07-15,,False
W7164986763,10.1016/j.isci.2026.116383,Violating statistical structure impairs detection of deviant and incidental events,iScience,2026,2026-06-17,article,0,True,False,False,False,Emma K. Ward,3,2026-07-15,,False
W7164894512,10.5281/zenodo.20715091,The RELMED task battery,Zenodo (CERN European Organization for Nuclear Research),2026,2026-06-16,software,0,False,False,True,False,Yaniv Abir,6,2026-07-15,,False
W7164885019,10.5281/zenodo.20715092,The RELMED task battery,Open MIND,2026,2026-06-16,software,0,False,False,True,False,Yaniv Abir,6,2026-07-15,,False
W7164803115,10.32388/3tfsk1,Artificial Intuition for Forecasting the Future: Confirmatory and Exploratory Analyses of 50 Pre-Registered Financial Forecasts,Qeios,2026,2026-06-15,preprint,0,True,False,False,False,Riccardo Boscariol,1,2026-07-15,,False
W7164864421,10.1177/02676583261445729,The role of L1 feature specification in naive L2 vowel perception: Evidence from feature fission and fusion,Second language Research,2026,2026-06-15,article,0,True,False,False,False,Xuanda Chen,4,2026-07-15,,False
W7164573811,10.1075/jslp.25032.tul,Acceptability in Danish and Finnish L2 speech,Journal of Second Language Pronunciation,2026,2026-06-12,article,0,False,True,False,False,Lisa Tulaja,3,2026-07-15,,False
W7164521529,10.1038/s41598-026-56692-2,Ventrolateral prefrontal-amygdala repetitive transcranial magnetic stimulation (rTMS) modulation of impulsivity in borderline personality disorder: a proof-of-concept study,Scientific Reports,2026,2026-06-12,article,0,False,False,True,False,Reza Tadayonnejad,8,2026-07-15,,False
W7164364105,10.64898/2026.06.10.731461,Suboptimal human inference reflects an efficient and flexible information bottleneck,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-06-11,preprint,0,False,True,False,False,Jacob A. Parker,6,2026-07-15,,False
W7164184662,10.1523/jneurosci.1950-25.2026,Distinct Hippocampal Subfield Representational Shifts Underlie Category Exception Learning,Journal of Neuroscience,2026,2026-06-10,article,0,True,False,False,False,Y. Xie,2,2026-07-15,,False
W7164025718,10.64898/2026.06.05.728761,Preserved self-other integration during social decision making among individuals with elevated autistic traits,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-06-09,preprint,0,True,False,False,False,Yongling Lin,9,2026-07-15,,False
W7164000587,10.1017/s0272263126101752,"Screen inferiority in L2 reading: The role of working memory, proficiency, and digital device usage",Studies in Second Language Acquisition,2026,2026-06-09,article,0,False,False,True,False,Hyeran Ryu,2,2026-07-15,,False
W7163695628,10.7488/era/7307,Unidirectional semantic change in grammaticalization: the role of cognition and communication,ERA,2026,2026-06-05,dissertation,0,False,False,True,False,Anna Kapron-King,1,2026-07-15,,False
W7164241000,,Assessing Language Learning Aptitude Through Dynamic Testing:A Proof-of-Concept Study,Durham e-Theses (Durham University),2026,2026-06-04,dissertation,0,False,False,True,False,Fangfang Du,1,2026-07-15,,False
W7163576716,10.3389/fpsyg.2026.1868429,Multimodal perceptual curation for cognitive autonomy in Generation Z decision making,Frontiers in Psychology,2026,2026-06-04,article,0,False,False,True,True,Zhean Zhu,2,2026-07-15,,False
W7163376034,10.1007/s42761-026-00376-7,Metacognitive Monitoring Predicts and Enhances Emotion Management Knowledge,Affective Science,2026,2026-06-03,article,0,False,False,True,False,Riley Leckie,3,2026-07-15,,False
epmc:MED:42273355,10.1162/opmi.a.357,Expectations of Reciprocal Generosity Are Specific to Equal Relationships,Open mind : discoveries in cognitive science,2026,2026-06-02,research-article; Journal Article,0,False,False,False,True,Chen AM,2,2026-07-15,,False
epmc:MED:42329828,10.1111/cogs.70219,Large Language Models Estimate Fine-Grained Human Color-Concept Associations,Cognitive science,2026,2026-06-01,"research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article",0,False,False,False,True,Mukherjee K,4,2026-07-15,,False
W7162938789,10.5281/zenodo.20467526,"Music, Mind, Body and Brain - Music Battery (MMBB-MB): A Multidimensional and Mobile-Compatible Assessment of Music-Related Behavior",Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-30,article,0,False,False,True,False,Pedro Neto,11,2026-07-15,,False
W7162937216,10.5281/zenodo.20467525,"Music, Mind, Body and Brain - Music Battery (MMBB-MB): A Multidimensional and Mobile-Compatible Assessment of Music-Related Behavior",Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-30,article,0,False,False,True,False,Pedro Neto,11,2026-07-15,,False
W7162815410,10.3758/s13421-026-01896-0,Cognitive and metacognitive markers of memory retrieval performance in speech prosody,Memory & Cognition,2026,2026-05-29,article,0,True,False,False,False,Thomas Wilschut,3,2026-07-15,,False
W7162790057,10.64898/2026.05.28.728411,"Subjective, not objective, socialness drives activity in the brain’s third visual pathway",bioRxiv (Cold Spring Harbor Laboratory),2026,2026-05-29,preprint,0,False,True,False,False,Rekha S Varrier,5,2026-07-15,,False
W4408164959,10.1038/s41598-026-50356-x,Synergistic tension among the music and lyrics of late-Romantic choral songs,Scientific Reports,2026,2026-05-29,preprint,0,False,False,True,False,Tudor Popescu,4,2026-07-15,,False
W7155393797,10.1145/3797246.3805692,VIVA Stimuli: A Web-Based Platform for Eye Tracking Stimuli,,2026,2026-05-29,article,0,False,False,True,False,Süleyman Özdel,5,2026-07-15,,False
W7162673081,10.1145/3817603,AI Error Difficulty Modulates the Effectiveness of Explainability in Decision Support Systems,ACM Transactions on Computer-Human Interaction,2026,2026-05-28,article,0,False,True,False,False,Tobias Rieger,4,2026-07-15,,False
W7160537857,10.1145/3806017,What Shapes Participant Data Quality? A Scoping Review and Case Study of Crowdsourced Webcam Eye Tracking in AI Interviews ETRA003,Proceedings of the ACM on Human-Computer Interaction,2026,2026-05-28,article,0,False,False,True,False,Ka Hei Carrie Lau,2,2026-07-15,,False
W7162514872,10.3758/s13428-026-03051-8,"Adding volition to word processing: Expected utility norms for 80,000 English words and multiword expressions",Behavior Research Methods,2026,2026-05-27,article,0,False,True,True,True,Andrew Wang,3,2026-07-15,,False
W7162569333,10.3758/s13423-026-02923-6,Item-specific source misattribution drives short-term source amnesia,Psychonomic Bulletin & Review,2026,2026-05-27,article,0,True,False,False,False,Xinran Chen,5,2026-07-15,,False
W7162525659,10.1038/s41598-026-53824-6,"The power of many small sex differences in cognition, personality, and interests",Scientific Reports,2026,2026-05-27,article,0,False,True,True,True,Agneta Herlitz,10,2026-07-15,,False
W4399842894,10.1007/s42113-026-00306-7,Need Second-hand Advice? The Timing of When People Seek Algorithmic Recommendations,Computational Brain & Behavior,2026,2026-05-26,preprint,0,True,False,True,False,Garston Liang,3,2026-07-15,,False
W7162467648,10.5281/zenodo.20397396,svanhedger/jspsych: jsPsych Scripts (May 2026),Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-26,software,0,False,False,True,False,svanhedger,2,2026-07-15,,False
W7162400840,10.5281/zenodo.20397395,svanhedger/jspsych: jsPsych Scripts (May 2026),Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-26,software,0,False,False,True,False,svanhedger,2,2026-07-15,,False
W4411440263,10.1016/j.cognition.2026.106591,You shall know a number by the company it keeps: Neighborhood effects in number processing,Cognition,2026,2026-05-25,preprint,0,False,True,False,False,Rina Harsch,3,2026-07-15,,False
W7162241503,10.64898/2026.05.22.727329,Dissociating volatility and stochasticity reveals transdiagnostic computational signatures of psychopathology,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-05-24,preprint,0,False,False,True,False,Xiaotong Fang,2,2026-07-15,,False
W7162475059,,Human Decision-Making with Persuasive and Narrative LLM Explanations,arXiv (Cornell University),2026,2026-05-22,preprint,0,False,False,True,False,Laura R. Marusich,4,2026-07-15,,False
W7162114921,10.5281/zenodo.20348160,jspsych/tobii-integration: v0.2.1,Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-22,software,0,False,False,True,False,Josh de Leeuw,2,2026-07-15,,False
W7162080882,10.5281/zenodo.20348161,jspsych/tobii-integration: v0.2.1,Open MIND,2026,2026-05-22,software,0,False,False,True,False,Josh de Leeuw,2,2026-07-15,,False
W4401475543,10.1038/s41598-026-53525-0,Timing-induced illusory percepts of pitch,Scientific Reports,2026,2026-05-21,preprint,0,True,False,True,False,Jesse Kendall Pazdera,3,2026-07-15,,False
W7161798225,10.1016/j.isci.2026.116018,"Platform, modality, and gamification effects on digit span task performance",iScience,2026,2026-05-20,article,0,True,False,False,True,Soner Türüdü,4,2026-07-15,,False
W7161869941,10.1016/j.cub.2026.04.055,Visual processing is a language-agnostic window into heterogeneity in early reading development,Current Biology,2026,2026-05-20,article,0,True,False,False,False,Mahalakshmi Ramamurthy,11,2026-07-15,,False
W7164812818,10.5281/zenodo.20263673,Yamada & Samejima (2026),Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-18,dataset,0,False,False,True,False,bo Ryu,2,2026-07-15,,False
W7164835706,10.5281/zenodo.20263672,Yamada & Samejima (2026),Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-18,dataset,0,False,False,True,False,bo Ryu,2,2026-07-15,,False
W7167333866,10.31234/osf.io/ecrdw_v1,Defending Against AI Agents with Webcam Eye Tracking,,2026,2026-05-17,article,0,False,False,True,True,Kianté Fernandez,4,2026-07-15,,False
W7161276516,10.1371/journal.pone.0343890,At the roots of Plant Awareness Disparity (PAD): Semantic processing and numerosity perception,PLoS ONE,2026,2026-05-15,article,0,False,True,True,True,Silvia Guerra,6,2026-07-15,,False
W7161291487,10.3389/fdpys.2026.1812543,Does engagement predict preschoolers' learning from on-screen interactions? A comparison of behavioral and holistic engagement measures,Frontiers in Developmental Psychology,2026,2026-05-15,article,0,True,False,True,False,Aaron R. Glick,4,2026-07-15,,False
W4412872186,10.1038/s41467-026-73032-0,Fast efficient coding and sensory adaptation in gain-adaptive recurrent networks,Nature Communications,2026,2026-05-15,preprint,1,False,True,True,True,Arthur Prat-Carrabin,3,2026-07-15,,False
W7161123415,10.21437/speechprosody.2026-153,Perception of Northern Vietnamese Tones: A Cross-Language Training Experiment,,2026,2026-05-14,article,0,False,False,True,False,Hồng Quang Chāu,3,2026-07-15,,False
W7161131732,10.21437/speechprosody.2026-142,Using an incremental guessing game to study the role of empathy in prosodic processing,,2026,2026-05-14,article,0,False,False,True,False,Céline Pozniak,4,2026-07-15,,False
W7160942719,10.1016/j.cognition.2026.106565,Prior knowledge biases episodic memory by filling in the gaps in imprecise memories: Simulating aging effects in younger adults,Cognition,2026,2026-05-12,article,0,True,False,False,False,Michelle M. Ramey,1,2026-07-15,,False
W7160858600,10.1186/s40337-026-01616-8,"Associations between socio-demographic patterns, body dissatisfaction, and eating disorder risk in women: a cluster-based approach",Journal of Eating Disorders,2026,2026-05-11,article,0,False,True,False,True,Vanessa Jürgensen,4,2026-07-15,,False
W7160949807,10.64898/2026.05.07.723487,Confirmation Bias Exists in the Face of False Information,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-05-11,preprint,0,False,True,False,False,Hamid Razi,3,2026-07-15,,False
W7160654303,10.3765/plsa.v11i1.6045,Indexical weight is distributed: Evidence from social evaluations of /s/,Proceedings of the Linguistic Society of America,2026,2026-05-08,article,0,False,False,True,False,Grace Brown,3,2026-07-15,,False
W7160433791,10.5281/zenodo.20056079,jsPsych: Enabling an Open-Source Collaborative Ecosystem of Behavioral Experiments,Zenodo (CERN European Organization for Nuclear Research),2026,2026-05-06,software,0,False,False,True,False,"Leeuw, Joshua R.",3,2026-07-15,,False
W7160727006,,"Why Someone Asked ""Why"": Foil Inference in Human and LLM Question Interpretation",arXiv (Cornell University),2026,2026-05-06,preprint,0,False,False,True,False,Britt Besch,2,2026-07-15,,False
W7160259168,10.64898/2026.05.03.722562,Coordinated human prefrontal dynamics sustain task-state representations during learning,bioRxiv (Cold Spring Harbor Laboratory),2026,2026-05-05,preprint,0,False,False,True,False,Christina Maher,8,2026-07-15,,False
W7160163990,10.1177/17470218261449150,What Phonological Overlap Effects Reveal About the Role of Working Memory in Native and Nonnative Language Processing,Quarterly Journal of Experimental Psychology,2026,2026-05-03,article,0,True,False,True,False,Andromachi Tsoukala,3,2026-07-15,,False
W7160935339,10.1121/10.0043729,Auditory detection of flowing water by humans in a natural habitat: Psychophysical and modelling data,The Journal of the Acoustical Society of America,2026,2026-05-01,article,0,True,False,False,False,Matthieu Fraticelli,3,2026-07-15,,False
W7160986890,10.1002/acp.70213,Differences of Opinions: How Visualizations of Uncertainty in Ratings Data Affect Choice,Applied Cognitive Psychology,2026,2026-05-01,article,0,False,True,False,False,Benjamin Motz,5,2026-07-15,,False
W7166575361,10.63317/2wr2ndj948ux,Eye tracking for Machine Translation Quality Evaluation,,2026,2026-05-01,article,0,False,False,True,False,Natalia Glazyrina,2,2026-07-15,,False
W7166543536,10.63317/586e6zxs948g,HeSLEx: A novel online questionnaire for heritage sign language research,,2026,2026-05-01,article,0,False,False,True,False,Evgeniia Khristoforova,2,2026-07-15,,False
W7162889888,10.1007/s12144-026-09591-8,Inhibitory control deficits in insomnia with objective short sleep duration,Current Psychology,2026,2026-05-01,article,0,True,False,False,False,Hailong Zhang,3,2026-07-15,,False
W7160457121,,"Psychologically Potent, Computationally Invisible: LLMs Generate Social-Comparison-Eliciting Posts They Fail to Detect",arXiv (Cornell University),2026,2026-05-01,preprint,0,False,False,True,False,Hua Zhao,3,2026-07-15,,False
W7160077464,10.1016/j.jml.2026.104765,Leveraging semantics in working memory to maintain bindings and modulate the impact of age,Journal of Memory and Language,2026,2026-04-30,article,0,False,True,False,False,Inès Leproult,4,2026-07-15,,False
W7158489007,10.1038/s44271-026-00458-z,Affective valence as a computational signal for learning value,Communications Psychology,2026,2026-04-29,article,0,False,False,True,False,Yi Yang Teoh,4,2026-07-15,,False
W7158888111,10.3758/s13423-026-02919-2,No stone unturned: Prevalence effects in interactive search are different than those in visual search,Psychonomic Bulletin & Review,2026,2026-04-29,article,0,False,False,True,True,Haden Dewis,5,2026-07-15,,False
W7156254142,10.5281/zenodo.19821738,jsPsych: Enabling an Open-Source Collaborative Ecosystem of Behavioral Experiments,Zenodo (CERN European Organization for Nuclear Research),2026,2026-04-27,software,0,False,False,True,False,"Leeuw, Joshua R.",3,2026-07-15,,False
W7155558494,10.1007/s42113-026-00267-x,Explaining the Free-time Distribution Effect in Working Memory Through Semantic Maintenance: A Computational Approach,Computational Brain & Behavior,2026,2026-04-24,article,0,False,True,False,False,Inès Leproult,3,2026-07-15,,False
W7155183268,10.31234/osf.io/xkaw6_v1,Measuring Creativity Process and Product with a Digitized Invented Alien Creatures Task,,2026,2026-04-23,article,0,False,False,True,True,Alicia Franco-Martínez,3,2026-07-15,,False
W7155415156,10.1016/j.lingua.2026.104174,The influence of conjunction distributional patterns on text processing by Chinese native speakers in expository causal complex sentences,Lingua,2026,2026-04-23,article,0,True,False,False,False,Xia Qiu,1,2026-07-15,,False
W7155199794,10.1038/s44271-026-00445-4,Beliefs about accuracy shape confidence attributions to humans and artificial agents,Communications Psychology,2026,2026-04-22,article,0,True,False,False,False,Clara Colombatto,2,2026-07-15,,False
W7155076069,10.1109/icassp55912.2026.11463693,Scaling Audio-Visual Quality Assessment Dataset via Crowdsourcing,,2026,2026-04-21,article,0,True,False,False,False,Renyu Yang,7,2026-07-15,,False
W7155292763,,Heritage Sign Language Experience (HeSLEx),OSF Preprints (OSF Preprints),2026,2026-04-20,preprint,0,False,False,True,False,Roman Poryadin,2,2026-07-15,,False
W7155079292,10.5539/ijel.v16n3p36,Learning English Specialised Vocabulary through Informal Exposure to Special-Interest Content,International Journal of English Linguistics,2026,2026-04-20,article,0,False,False,True,False,Gloria Cappelli,2,2026-07-15,,False
W4386465638,10.5070/g6011.21176,Category-specific and system-wide preferences in competition: Evidence from noun phrase harmony,Glossa Psycholinguistics,2026,2026-04-16,preprint,1,False,True,True,False,Annie Holtz,3,2026-07-15,,False
W7154564959,10.1007/s42761-026-00366-9,Deliberate Facial Mimicry As a Skill That Predicts Emotion Recognition Performance,Affective Science,2026,2026-04-16,article,0,True,False,True,True,Liron Amihai,5,2026-07-15,,False
W7154865504,,Goxpyriment: A Go Framework for Behavioral and Cognitive Experiments,arXiv (Cornell University),2026,2026-04-16,preprint,0,False,False,True,False,Christophe Pallier,3,2026-07-15,,False
W4411660844,10.1038/s44271-026-00454-3,Type-1 and type-2 decisions feature computational noise of similar magnitude,Communications Psychology,2026,2026-04-16,preprint,1,False,False,True,False,Yunxuan Zheng,4,2026-07-15,,False
W7154497775,10.15131/shef.data.28919807.v1,Memory Tasks for Jacobs Foundation Grant,Open MIND,2026,2026-04-15,software,0,False,False,True,False,Daniel Brady,2,2026-07-15,,False
W7154498880,10.15131/shef.data.28919807,Memory Tasks for Jacobs Foundation Grant,ORDA - The University of Sheffield Research Data Catalogue and Repository,2026,2026-04-15,software,0,False,False,True,False,Daniel Brady,2,2026-07-15,,False
W4408607951,10.1073/pnas.2523345123,Medial temporal lobe encodes cognitive maps of real-world social networks,Proceedings of the National Academy of Sciences,2026,2026-04-14,preprint,2,False,True,False,False,Yi Yang Teoh,5,2026-07-15,,False
W7154119240,10.3758/s13428-026-02963-9,"Extrapolated Persian Lexical Affect Norms (E-PLAN) from best–worst judgments of valence, arousal, dominance, and concreteness",Behavior Research Methods,2026,2026-04-13,article,0,True,False,False,False,Fatemeh Nemati,4,2026-07-15,,False
W7152706123,10.1177/00238309261419799,Perceiving and Modeling the Scope of Question Focus in Korean,Language and Speech,2026,2026-04-09,article,0,False,True,False,False,S. A. Jones,3,2026-07-15,,False
W7152557873,10.1038/s41598-026-47943-3,"Speech perception consistency facilitates initial lexical activation, but not speech perception flexibility",Scientific Reports,2026,2026-04-09,article,0,False,True,True,True,Brian W. L. Wong,3,2026-07-15,,False
W4412203876,10.3758/s13428-026-02995-1,Delivering tactile stimuli via mobile browsers: A method for remote multisensory research,Behavior Research Methods,2026,2026-04-08,preprint,1,False,False,True,True,Rebecca Hirst,6,2026-07-15,,False
W4391573518,10.1038/s41539-026-00416-8,Semantic relatedness and the efficacy of retrieval practice,npj Science of Learning,2026,2026-04-04,preprint,0,True,False,False,False,Mohan Gupta,3,2026-07-15,,False
W7148288443,10.1038/s41398-026-04000-x,Autism-associated learning patterns show reduced credit assignment to outcome-irrelevant features,Translational Psychiatry,2026,2026-04-02,article,0,True,False,True,True,Ido Ben-Artzi,3,2026-07-15,,False
W7149873385,,Do Large Language Models Mentalize When They Teach?,arXiv (Cornell University),2026,2026-04-02,preprint,0,False,False,True,False,Sevan K. Harootonian,5,2026-07-15,,False
W7147038251,10.3390/bs16040522,Bilingualism in Context: A Bayesian Psychometric Network Analysis of Language and Culture Among U.S. Heritage Spanish–English Speakers of Latin American Descent,Behavioral Sciences,2026,2026-04-01,article,0,False,True,False,True,William Rayo,2,2026-07-15,,False
W7161926544,,Minimal training duration inducing near transfer in two-phase working memory training paradigm,Institutional Repositories DataBase (IRDB),2026,2026-04-01,article,0,False,False,True,False,Nan Ni,3,2026-07-15,,False
W7147700781,10.3389/fnhum.2026.1796537,Motion aftereffects from viewing another’s gaze are restricted to the line of sight,Frontiers in Human Neuroscience,2026,2026-04-01,article,0,True,False,True,True,Christian Renet,4,2026-07-15,,False
W7154246523,10.3758/s13423-026-02904-9,Multiple sources of conflict in the flanker task: Flanker interference can be decomposed into cumulative components,Psychonomic Bulletin & Review,2026,2026-04-01,article,0,True,False,False,False,Corentin Gonthier,2,2026-07-15,,False
epmc:MED:41954324,10.1167/jov.26.4.8,Similarity-driven compression during encoding supports biased but more precise working memory,Journal of vision,2026,2026-04-01,research-article; Journal Article,0,False,False,False,True,Wennberg JW,2,2026-07-15,,False
